site,dt,price
B,31/05/2016 05:15,525.3311226
B,31/05/2016 05:30,523.3433025
B,31/05/2016 05:45,522.6229206
B,31/05/2016 06:00,523.0074403
B,31/05/2016 06:15,522.893221
B,31/05/2016 06:30,523.8502695
B,31/05/2016 06:45,523.9642148
B,31/05/2016 07:00,524.8111493
B,31/05/2016 07:15,525.0176806
B,31/05/2016 07:30,524.1327969
B,31/05/2016 07:45,522.684379
B,31/05/2016 08:00,521.7867487
B,31/05/2016 08:15,520.6237076
B,31/05/2016 08:30,523.753471
B,31/05/2016 08:45,522.4504975
B,31/05/2016 09:00,519.2087567
B,31/05/2016 09:15,519.4498578
B,31/05/2016 09:30,520.5964494
B,31/05/2016 09:45,521.8707462
B,31/05/2016 10:00,521.996284
B,31/05/2016 10:15,520.7242689
B,31/05/2016 10:30,520.6193785
B,31/05/2016 10:45,521.5695168
B,31/05/2016 11:00,522.4336183
B,31/05/2016 11:15,523.0209776
B,31/05/2016 11:30,523.194935
B,31/05/2016 11:45,524.0477199
B,31/05/2016 12:00,525.0580045
B,31/05/2016 12:15,522.9500849
B,31/05/2016 12:30,521.0311967
B,31/05/2016 12:45,521.4103735
B,31/05/2016 13:00,518.8824553
B,31/05/2016 13:15,517.6773909
B,31/05/2016 13:30,516.7557538
B,31/05/2016 13:45,517.0762937
B,31/05/2016 14:00,516.2699521
B,31/05/2016 14:15,517.9990755
B,31/05/2016 14:30,514.9122356
B,31/05/2016 14:45,513.1837201
B,31/05/2016 15:00,513.4742273
B,31/05/2016 15:15,510.5349496
B,31/05/2016 15:30,511.2090183
B,31/05/2016 15:45,511.7962122
B,31/05/2016 16:00,511.7494438
B,31/05/2016 16:15,512.0192978
B,31/05/2016 16:30,511.9239676
B,31/05/2016 16:45,512.0410517
B,31/05/2016 17:00,512.7047215
B,31/05/2016 17:15,511.3355192
B,31/05/2016 17:30,510.3425196
B,31/05/2016 17:45,512.5177901
B,31/05/2016 18:00,514.6040716
B,31/05/2016 18:15,512.5829478
B,31/05/2016 18:30,513.6406062
B,31/05/2016 18:45,513.7979671
B,31/05/2016 19:00,513.0953032
B,31/05/2016 19:15,513.6208469
B,31/05/2016 19:30,512.6436595
B,31/05/2016 19:45,515.0799028
B,31/05/2016 20:00,517.5317204
B,31/05/2016 20:15,520.6946967
B,31/05/2016 20:30,519.0086102
B,31/05/2016 20:45,518.4984848
B,31/05/2016 21:00,517.9629652
B,31/05/2016 21:15,517.1738776
B,31/05/2016 21:30,519.5188243
B,31/05/2016 21:45,520.7921732
B,31/05/2016 22:00,522.0109667
B,31/05/2016 22:15,521.209986
B,31/05/2016 22:30,521.0993692
B,31/05/2016 22:45,520.9305072
B,31/05/2016 23:00,522.692311
B,31/05/2016 23:15,522.0469647
B,31/05/2016 23:30,522.9985893
B,31/05/2016 23:45,522.9272908
B,01/06/2016 00:00,521.3709718
C,29/05/2016 00:00,545.34
C,29/05/2016 00:15,546.7728186
C,29/05/2016 00:30,546.9721461
C,29/05/2016 00:45,547.7258699
C,29/05/2016 01:00,545.6775271
C,29/05/2016 01:15,543.9053565
C,29/05/2016 01:30,544.0839657
C,29/05/2016 01:45,546.5468806
C,29/05/2016 02:00,543.4863182
C,29/05/2016 02:15,541.8831435
C,29/05/2016 02:30,541.0604648
C,29/05/2016 02:45,541.096246
C,29/05/2016 03:00,540.9493482
C,29/05/2016 03:15,542.1111376
C,29/05/2016 03:30,541.5260901
C,29/05/2016 03:45,542.713504
C,29/05/2016 04:00,541.7092578
C,29/05/2016 04:15,540.4445072
C,29/05/2016 04:30,538.4341753
C,29/05/2016 04:45,541.1116996
C,29/05/2016 05:00,539.1045576
C,29/05/2016 05:15,539.2598721
C,29/05/2016 05:30,538.3597477
C,29/05/2016 05:45,538.2227399
C,29/05/2016 06:00,539.0158563
C,29/05/2016 06:15,537.4061055
C,29/05/2016 06:30,535.6024115
C,29/05/2016 06:45,534.4931793
C,29/05/2016 07:00,533.9724817
C,29/05/2016 07:15,533.3963627
C,29/05/2016 07:30,534.7244687
C,29/05/2016 07:45,534.9524876
C,29/05/2016 08:00,535.4605555
C,29/05/2016 08:15,535.0066088
C,29/05/2016 08:30,533.943408
C,29/05/2016 08:45,532.2720197
C,29/05/2016 09:00,530.6466774
C,29/05/2016 09:15,531.6691703
C,29/05/2016 09:30,530.4588392
C,29/05/2016 09:45,530.7789926
C,29/05/2016 10:00,532.0363955
