Rider_name,Rider_number,Team,Leader,GC_at_start_of_the_stage,GC_Total_riding_time,GC_Gap_at_start_of_stage,Finish_Time,km169.5_Group,km169.5_Position,km169.5_Elapsed_time,km169.5_Gap_to_previous_group,km169.5_Average_speed,km169.5_Current_speed,km169.5_Gradient,km169.5_GC_prov_position,km169.5_GC_prov_delay,km169.5_GC_riding_time,km160_Group,km160_Position,km160_Elapsed_time,km160_Gap_to_previous_group,km160_Average_speed,km160_Current_speed,km160_Gradient,km160_GC_prov_position,km160_GC_prov_delay,km160_GC_riding_time,km150_Group,km150_Position,km150_Elapsed_time,km150_Gap_to_previous_group,km150_Average_speed,km150_Current_speed,km150_Gradient,km150_GC_prov_position,km150_GC_prov_delay,km150_GC_riding_time,km140_Group,km140_Position,km140_Elapsed_time,km140_Gap_to_previous_group,km140_Average_speed,km140_Current_speed,km140_Gradient,km140_GC_prov_position,km140_GC_prov_delay,km140_GC_riding_time,km130_Group,km130_Position,km130_Elapsed_time,km130_Gap_to_previous_group,km130_Average_speed,km130_Current_speed,km130_Gradient,km130_GC_prov_position,km130_GC_prov_delay,km130_GC_riding_time,km120_Group,km120_Position,km120_Elapsed_time,km120_Gap_to_previous_group,km120_Average_speed,km120_Current_speed,km120_Gradient,km120_GC_prov_position,km120_GC_prov_delay,km120_GC_riding_time,km110_Group,km110_Position,km110_Elapsed_time,km110_Gap_to_previous_group,km110_Average_speed,km110_Current_speed,km110_Gradient,km110_GC_prov_position,km110_GC_prov_delay,km110_GC_riding_time,km100_Group,km100_Position,km100_Elapsed_time,km100_Gap_to_previous_group,km100_Average_speed,km100_Current_speed,km100_Gradient,km100_GC_prov_position,km100_GC_prov_delay,km100_GC_riding_time,km90_Group,km90_Position,km90_Elapsed_time,km90_Gap_to_previous_group,km90_Average_speed,km90_Current_speed,km90_Gradient,km90_GC_prov_position,km90_GC_prov_delay,km90_GC_riding_time,km80_Group,km80_Position,km80_Elapsed_time,km80_Gap_to_previous_group,km80_Average_speed,km80_Current_speed,km80_Gradient,km80_GC_prov_position,km80_GC_prov_delay,km80_GC_riding_time,km70_Group,km70_Position,km70_Elapsed_time,km70_Gap_to_previous_group,km70_Average_speed,km70_Current_speed,km70_Gradient,km70_GC_prov_position,km70_GC_prov_delay,km70_GC_riding_time,km60_Group,km60_Position,km60_Elapsed_time,km60_Gap_to_previous_group,km60_Average_speed,km60_Current_speed,km60_Gradient,km60_GC_prov_position,km60_GC_prov_delay,km60_GC_riding_time,km50_Group,km50_Position,km50_Elapsed_time,km50_Gap_to_previous_group,km50_Average_speed,km50_Current_speed,km50_Gradient,km50_GC_prov_position,km50_GC_prov_delay,km50_GC_riding_time,km40_Group,km40_Position,km40_Elapsed_time,km40_Gap_to_previous_group,km40_Average_speed,km40_Current_speed,km40_Gradient,km40_GC_prov_position,km40_GC_prov_delay,km40_GC_riding_time,km30_Group,km30_Position,km30_Elapsed_time,km30_Gap_to_previous_group,km30_Average_speed,km30_Current_speed,km30_Gradient,km30_GC_prov_position,km30_GC_prov_delay,km30_GC_riding_time,km20_Group,km20_Position,km20_Elapsed_time,km20_Gap_to_previous_group,km20_Average_speed,km20_Current_speed,km20_Gradient,km20_GC_prov_position,km20_GC_prov_delay,km20_GC_riding_time,km15_Group,km15_Position,km15_Elapsed_time,km15_Gap_to_previous_group,km15_Average_speed,km15_Current_speed,km15_Gradient,km15_GC_prov_position,km15_GC_prov_delay,km15_GC_riding_time,km10_Group,km10_Position,km10_Elapsed_time,km10_Gap_to_previous_group,km10_Average_speed,km10_Current_speed,km10_Gradient,km10_GC_prov_position,km10_GC_prov_delay,km10_GC_riding_time,km5_Group,km5_Position,km5_Elapsed_time,km5_Gap_to_previous_group,km5_Average_speed,km5_Current_speed,km5_Gradient,km5_GC_prov_position,km5_GC_prov_delay,km5_GC_riding_time,km0_Group,km0_Position,km0_Elapsed_time,km0_Gap_to_previous_group,km0_Average_speed,km0_Current_speed,km0_Gradient,km0_GC_prov_position,km0_GC_prov_delay,km0_GC_riding_time
P. MARTENS,165,TLJ,no,85,51h 00' 12'',1:35:29,03h 46' 38'',Main group,115,+0'00'',+0'00'',0 km/h,0 km/h,0%,85,1:35:29,51:00:12,Main group,121,+0'58'',+0'25'',49.91 km/h,37.51 km,-4%,83,1:35:29,51:23:07,Main group,85,+1'45'',+0'49'',55.25 km/h,44.78 km,-2%,83,1:35:29,51:36:58,Main group,92,+3'20'',+3'20'',49.06 km/h,51.16 km,-1%,82,1:35:29,51:50:13,Main group,57,+2'14'',+2'14'',51.08 km/h,84.06 km,-6%,83,1:35:29,52:02:43,Main group,35,+1'42'',+1'42'',41.34 km/h,47.02 km,-,83,1:35:29,52:15:01,Main group,35,+1'34'',+1'34'',41.20 km/h,40.36 km,-1%,83,1:35:29,52:27:18,Main group,49,+2'00'',+2'00'',40.94 km/h,45.11 km,-3%,83,1:35:29,52:40:10,Main group,42,+2'10'',+2'10'',44.59 km/h,42.77 km,-,83,1:35:29,52:54:02,Main group,40,+2'06'',+2'06'',37.81 km/h,36.68 km,3%,83,1:35:29,53:05:32,Main group,52,+1'30'',+1'30'',45.41 km/h,45.86 km,-1%,83,1:35:29,53:18:11,Main group,54,+1'00'',+1'00'',29.68 km/h,24.16 km,5%,83,1:35:29,53:30:08,Main group,88,+0'51'',+0'51'',40.80 km/h,35.50 km,-2%,83,1:35:29,53:43:23,Main group,69,+0'57'',+0'57'',38.90 km/h,29.99 km,4%,83,1:35:29,53:55:46,Main group,21,+0'35'',+0'35'',41.05 km/h,46.04 km,-1%,83,1:35:29,54:08:29,Main group,26,+0'47'',+0'47'',39.63 km/h,63.40 km,-2%,83,1:35:29,54:21:01,Main group,11,+0'25'',+0'25'',59.45 km/h,46.44 km,-,83,1:35:29,54:26:30,Main group,72,+0'24'',+0'24'',54.95 km/h,54.83 km,-1%,83,1:35:29,54:33:15,Main group,9,+0'00'',+0'00'',49.83 km/h,52.85 km,-,83,1:35:29,54:39:30,Stragglers,65,+0'43'',-,-,-,-,81,1:36:12,54:46:50
P. ROGLIC,166,TLJ,no,5,49h 27' 29'',0:02:46,03h 45' 55'',Main group,116,+0'00'',+0'00'',0 km/h,0 km/h,0%,5,0:02:46,49:27:29,Main group,116,+0'58'',+0'25'',48.83 km/h,41.83 km,-4%,4,0:02:46,49:50:24,Main group,128,+1'45'',+0'49'',53.99 km/h,45.04 km,-2%,4,0:02:46,50:04:15,Main group,134,+3'24'',+3'24'',45.52 km/h,47.50 km,-,4,0:02:50,50:17:34,Main group,65,+2'14'',+2'14'',50.07 km/h,89.89 km,-6%,4,0:02:46,50:30:00,Main group,49,+1'42'',+1'42'',39.57 km/h,48.02 km,-,4,0:02:46,50:42:18,Main group,49,+1'34'',+1'34'',38.91 km/h,39.82 km,-1%,4,0:02:46,50:54:35,Main group,92,+2'00'',+2'00'',37.60 km/h,43.38 km,-2%,4,0:02:46,51:07:27,Main group,110,+2'10'',+2'10'',41.20 km/h,32.72 km,-,4,0:02:46,51:21:19,Main group,59,+2'06'',+2'06'',36.51 km/h,35.46 km,3%,4,0:02:46,51:32:49,Main group,73,+1'30'',+1'30'',43.17 km/h,45.83 km,-,4,0:02:46,51:45:28,Main group,87,+1'00'',+1'00'',27.44 km/h,20.34 km,5%,4,0:02:46,51:57:25,Main group,105,+0'51'',+0'51'',39.26 km/h,33.41 km,-2%,4,0:02:46,52:10:40,Main group,102,+0'57'',+0'57'',38.92 km/h,26.50 km,4%,4,0:02:46,52:23:03,Main group,59,+0'35'',+0'35'',41.02 km/h,40.86 km,-,4,0:02:46,52:35:46,Main group,28,+0'47'',+0'47'',38.65 km/h,64.80 km,-2%,4,0:02:46,52:48:18,Main group,87,+0'25'',+0'25'',59.56 km/h,56.81 km,-,4,0:02:46,52:53:47,Main group,84,+0'24'',+0'24'',55.33 km/h,55.12 km,-1%,4,0:02:46,53:00:32,Main group,23,+0'00'',+0'00'',50.11 km/h,51.98 km,-,4,0:02:46,53:06:47,Main group,45,+0'00'',-,-,-,-,4,0:02:46,53:13:24
T. ROOSEN,167,TLJ,no,152,51h 52' 20'',2:27:37,03h 45' 55'',Main group,117,+0'00'',+0'00'',0 km/h,0 km/h,0%,152,2:27:37,51:52:20,Main group,100,+0'58'',+0'25'',48.90 km/h,38.09 km,-4%,150,2:27:37,52:15:15,Main group,78,+1'45'',+0'49'',55.51 km/h,44.64 km,-2%,150,2:27:37,52:29:06,Main group,41,+3'20'',+3'20'',49.35 km/h,50.80 km,-1%,150,2:27:37,52:42:21,Main group,61,+2'14'',+2'14'',51.46 km/h,86.00 km,-6%,150,2:27:37,52:54:51,Main group,41,+1'42'',+1'42'',41.50 km/h,45.40 km,-,150,2:27:37,53:07:09,Main group,36,+1'34'',+1'34'',41.28 km/h,40.75 km,-1%,150,2:27:37,53:19:26,Main group,44,+2'00'',+2'00'',40.81 km/h,46.30 km,-3%,150,2:27:37,53:32:18,Main group,45,+2'10'',+2'10'',44.32 km/h,42.95 km,-,150,2:27:37,53:46:10,Main group,51,+2'06'',+2'06'',39.00 km/h,37.30 km,3%,150,2:27:37,53:57:40,Main group,45,+1'30'',+1'30'',45.52 km/h,47.56 km,-1%,150,2:27:37,54:10:19,Main group,89,+1'00'',+1'00'',29.14 km/h,22.00 km,5%,150,2:27:37,54:22:16,Main group,72,+0'51'',+0'51'',39.91 km/h,34.85 km,-2%,150,2:27:37,54:35:31,Main group,127,+0'57'',+0'57'',38.95 km/h,34.52 km,4%,150,2:27:37,54:47:54,Main group,43,+0'35'',+0'35'',40.78 km/h,39.06 km,-,150,2:27:37,55:00:37,Main group,37,+0'47'',+0'47'',39.60 km/h,63.97 km,-2%,150,2:27:37,55:13:09,Main group,10,+0'25'',+0'25'',59.60 km/h,48.38 km,-,150,2:27:37,55:18:38,Main group,25,+0'24'',+0'24'',55.05 km/h,54.83 km,-1%,150,2:27:37,55:25:23,Main group,29,+0'00'',+0'00'',49.48 km/h,51.12 km,-,150,2:27:37,55:31:38,Main group,26,+0'00'',-,-,-,-,150,2:27:37,55:38:15
A. TOLHOEK,168,TLJ,no,53,50h 41' 04'',1:16:21,03h 48' 03'',Main group,118,+0'00'',+0'00'',0 km/h,0 km/h,0%,53,1:16:21,50:41:04,Main group,128,+0'58'',+0'25'',50.51 km/h,36.18 km,-4%,52,1:16:21,51:03:59,Main group,106,+1'45'',+0'49'',55.32 km/h,45.76 km,-2%,52,1:16:21,51:17:50,Main group,52,+3'20'',+3'20'',49.33 km/h,51.55 km,-1%,52,1:16:21,51:31:05,Main group,97,+2'14'',+2'14'',50.81 km/h,86.04 km,-6%,52,1:16:21,51:43:35,Main group,45,+1'42'',+1'42'',40.71 km/h,48.38 km,-,52,1:16:21,51:55:53,Main group,38,+1'34'',+1'34'',41.35 km/h,38.41 km,-1%,52,1:16:21,52:08:10,Main group,53,+2'00'',+2'00'',37.55 km/h,45.29 km,-3%,52,1:16:21,52:21:02,Main group,46,+2'10'',+2'10'',44.43 km/h,41.15 km,-,52,1:16:21,52:34:54,Main group,72,+2'06'',+2'06'',39.52 km/h,36.11 km,3%,52,1:16:21,52:46:24,Main group,63,+1'30'',+1'30'',46.34 km/h,50.90 km,-,52,1:16:21,52:59:03,Main group,69,+1'00'',+1'00'',29.53 km/h,24.34 km,5%,52,1:16:21,53:11:00,Main group,144,+0'51'',+0'51'',39.50 km/h,32.36 km,-1%,52,1:16:21,53:24:15,Main group,125,+0'57'',+0'57'',38.44 km/h,31.18 km,4%,52,1:16:21,53:36:38,Main group,131,+0'35'',+0'35'',42.21 km/h,37.18 km,-,52,1:16:21,53:49:21,Main group,138,+0'47'',+0'47'',39.61 km/h,66.31 km,-3%,52,1:16:21,54:01:53,Main group,140,+0'25'',+0'25'',59.76 km/h,51.48 km,-,52,1:16:21,54:07:22,Main group,141,+0'24'',+0'24'',55.57 km/h,57.35 km,-1%,52,1:16:21,54:14:07,Main group,141,+0'00'',+0'00'',49.09 km/h,52.27 km,-1%,52,1:16:21,54:20:22,Stragglers,131,+2'08'',-,-,-,-,54,1:18:29,54:29:07
J. DE BUYST,173,LTS,no,149,51h 45' 22'',2:20:39,03h 45' 55'',Main group,119,+0'00'',+0'00'',0 km/h,0 km/h,0%,149,2:20:39,51:45:22,Main group,67,+0'58'',+0'25'',49.17 km/h,40.79 km,-4%,147,2:20:39,52:08:17,Main group,68,+1'45'',+0'49'',55.24 km/h,44.60 km,-2%,147,2:20:39,52:22:08,Main group,148,+3'20'',+3'20'',44.06 km/h,56.27 km,-1%,147,2:20:39,52:35:23,Main group,137,+2'14'',+2'14'',50.86 km/h,87.44 km,-7%,147,2:20:39,52:47:53,Main group,108,+1'42'',+1'42'',40.68 km/h,51.91 km,-,147,2:20:39,53:00:11,Main group,100,+1'34'',+1'34'',41.19 km/h,39.82 km,-1%,147,2:20:39,53:12:28,Main group,73,+2'00'',+2'00'',37.87 km/h,45.18 km,-3%,147,2:20:39,53:25:20,Main group,94,+2'10'',+2'10'',43.84 km/h,43.42 km,-,147,2:20:39,53:39:12,Main group,119,+2'06'',+2'06'',38.91 km/h,36.90 km,3%,147,2:20:39,53:50:42,Main group,94,+1'30'',+1'30'',45.18 km/h,46.08 km,-,147,2:20:39,54:03:21,Main group,134,+1'00'',+1'00'',29.25 km/h,23.54 km,5%,147,2:20:39,54:15:18,Main group,85,+0'51'',+0'51'',41.78 km/h,34.49 km,-2%,147,2:20:39,54:28:33,Main group,113,+0'57'',+0'57'',38.75 km/h,31.72 km,4%,147,2:20:39,54:40:56,Main group,146,+0'35'',+0'35'',41.58 km/h,31.61 km,-,147,2:20:39,54:53:39,Main group,145,+0'47'',+0'47'',38.11 km/h,64.84 km,-3%,147,2:20:39,55:06:11,Main group,64,+0'25'',+0'25'',60.42 km/h,54.00 km,-,147,2:20:39,55:11:40,Main group,41,+0'24'',+0'24'',55.10 km/h,55.30 km,-1%,147,2:20:39,55:18:25,Main group,14,+0'00'',+0'00'',49.83 km/h,53.68 km,-,147,2:20:39,55:24:40,Main group,18,+0'00'',-,-,-,-,148,2:20:39,55:31:17
T. DE GENDT,174,LTS,no,68,50h 51' 20'',1:26:37,03h 48' 03'',Main group,120,+0'00'',+0'00'',0 km/h,0 km/h,0%,68,1:26:37,50:51:20,Front of the race,3,+0'33'',+0'33'',54.42 km/h,50.81 km,-2%,67,1:26:12,51:13:50,Front of the race,1,00h 35' 01'',+0'00'',60.69 km/h,55.19 km,-,67,1:24:52,51:26:21,Front of the race,3,+0'00'',+0'00'',44.55 km/h,46.87 km,-,62,1:23:17,51:38:01,Front of the race,1,01h 00' 17'',+0'00'',59.84 km/h,68.62 km,-5%,64,1:24:23,51:51:37,Front of the race,2,+0'00'',+0'00'',40.27 km/h,41.76 km,-,67,1:24:55,52:04:27,Front of the race,1,01h 25' 32'',+0'00'',39.59 km/h,38.45 km,-,67,1:25:03,52:16:52,Front of the race,1,01h 37' 58'',+0'00'',45.99 km/h,45.07 km,-,67,1:24:37,52:29:18,Front of the race,2,+0'00'',+0'00'',44.16 km/h,46.98 km,-1%,64,1:24:27,52:43:00,Front of the race,2,+0'00'',+0'00'',40.03 km/h,48.56 km,-2%,64,1:24:31,52:54:34,Front of the race,2,+0'00'',+0'00'',40.93 km/h,43.60 km,-1%,67,1:25:07,53:07:49,Front of the race,2,+0'00'',+0'00'',27.45 km/h,41.36 km,-2%,67,1:25:37,53:20:16,Front of the race,3,+0'00'',+0'00'',42.81 km/h,53.93 km,-1%,67,1:25:46,53:33:40,Front of the race,2,+0'00'',+0'00'',33.20 km/h,32.26 km,4%,67,1:25:40,53:45:57,Front of the race,4,+0'00'',+0'00'',41.03 km/h,45.76 km,-2%,67,1:26:02,53:59:02,Main group,132,+0'47'',+0'47'',37.85 km/h,62.68 km,-3%,67,1:26:37,54:12:09,Main group,148,+0'25'',+0'25'',59.21 km/h,47.34 km,-,67,1:26:37,54:17:38,Main group,144,+0'24'',+0'24'',55.41 km/h,57.42 km,-1%,67,1:26:37,54:24:23,Main group,146,+0'00'',+0'00'',48.71 km/h,54.65 km,-1%,67,1:26:37,54:30:38,Stragglers,118,+2'08'',-,-,-,-,69,1:28:45,54:39:23
T. MARCZYNSKI,176,LTS,no,110,51h 12' 37'',1:47:54,03h 47' 31'',Main group,121,+0'00'',+0'00'',0 km/h,0 km/h,0%,110,1:47:54,51:12:37,Main group,101,+0'58'',+0'25'',48.97 km/h,35.82 km,-4%,108,1:47:54,51:35:32,Main group,56,+1'45'',+0'49'',54.99 km/h,44.78 km,-2%,108,1:47:54,51:49:23,Main group,57,+3'20'',+3'20'',48.53 km/h,53.53 km,-1%,108,1:47:54,52:02:38,Main group,73,+2'14'',+2'14'',52.04 km/h,87.55 km,-6%,108,1:47:54,52:15:08,Main group,151,+1'42'',+1'42'',38.70 km/h,49.50 km,-,108,1:47:54,52:27:26,Main group,89,+1'34'',+1'34'',40.81 km/h,38.59 km,-1%,108,1:47:54,52:39:43,Main group,96,+2'00'',+2'00'',37.04 km/h,42.59 km,-2%,108,1:47:54,52:52:35,Main group,107,+2'10'',+2'10'',44.09 km/h,42.01 km,-,108,1:47:54,53:06:27,Main group,113,+2'06'',+2'06'',39.09 km/h,37.19 km,3%,108,1:47:54,53:17:57,Main group,111,+1'30'',+1'30'',44.67 km/h,43.60 km,-,107,1:47:54,53:30:36,Main group,45,+1'00'',+1'00'',28.81 km/h,22.43 km,5%,108,1:47:54,53:42:33,Main group,98,+0'51'',+0'51'',39.37 km/h,35.42 km,-2%,108,1:47:54,53:55:48,Main group,60,+0'57'',+0'57'',38.85 km/h,33.41 km,4%,108,1:47:54,54:08:11,Main group,98,+0'35'',+0'35'',41.33 km/h,33.66 km,-,108,1:47:54,54:20:54,Main group,101,+0'47'',+0'47'',38.88 km/h,63.29 km,-3%,108,1:47:54,54:33:26,Main group,101,+0'25'',+0'25'',59.56 km/h,51.66 km,-,108,1:47:54,54:38:55,Main group,91,+0'24'',+0'24'',55.20 km/h,54.14 km,-1%,108,1:47:54,54:45:40,Main group,106,+0'00'',+0'00'',49.60 km/h,49.79 km,-1%,108,1:47:54,54:51:55,Stragglers,96,+1'36'',-,-,-,-,109,1:49:30,55:00:08
J. VANENDERT,178,LTS,no,84,50h 59' 57'',1:35:14,03h 48' 03'',Main group,122,+0'00'',+0'00'',0 km/h,0 km/h,0%,84,1:35:14,50:59:57,Main group,10,+0'58'',+0'25'',48.87 km/h,43.70 km,-5%,82,1:35:14,51:22:52,Main group,31,+1'45'',+0'49'',55.44 km/h,43.99 km,-3%,82,1:35:14,51:36:43,Back of the Race,151,+4'14'',+0'54'',41.96 km/h,54.83 km,-,84,1:36:08,51:50:52,Main group,96,+2'14'',+2'14'',50.83 km/h,86.61 km,-6%,82,1:35:14,52:02:28,Main group,104,+1'42'',+1'42'',40.12 km/h,49.50 km,-,82,1:35:14,52:14:46,Main group,115,+1'34'',+1'34'',41.26 km/h,38.34 km,-1%,82,1:35:14,52:27:03,Main group,86,+2'00'',+2'00'',37.44 km/h,41.47 km,-2%,82,1:35:14,52:39:55,Main group,98,+2'10'',+2'10'',43.80 km/h,41.18 km,-,82,1:35:14,52:53:47,Main group,31,+2'06'',+2'06'',37.55 km/h,37.69 km,3%,82,1:35:14,53:05:17,Main group,68,+1'30'',+1'30'',45.32 km/h,50.40 km,-,82,1:35:14,53:17:56,Main group,30,+1'00'',+1'00'',28.81 km/h,21.74 km,5%,82,1:35:14,53:29:53,Main group,89,+0'51'',+0'51'',40.07 km/h,35.03 km,-2%,82,1:35:14,53:43:08,Main group,117,+0'57'',+0'57'',38.19 km/h,27.94 km,4%,82,1:35:14,53:55:31,Main group,99,+0'35'',+0'35'',41.58 km/h,31.75 km,-,82,1:35:14,54:08:14,Main group,113,+0'47'',+0'47'',38.93 km/h,64.19 km,-3%,82,1:35:14,54:20:46,Main group,83,+0'25'',+0'25'',59.55 km/h,55.26 km,-,82,1:35:14,54:26:15,Main group,43,+0'24'',+0'24'',55.02 km/h,54.58 km,-1%,82,1:35:14,54:33:00,Main group,96,+0'00'',+0'00'',49.44 km/h,51.34 km,-1%,82,1:35:14,54:39:15,Stragglers,119,+2'08'',-,-,-,-,85,1:37:22,54:48:00
L. CALMEJANE,181,TDE,no,34,50h 17' 23'',0:52:40,03h 45' 55'',Main group,123,+0'00'',+0'00'',0 km/h,0 km/h,0%,34,0:52:40,50:17:23,Main group,56,+0'58'',+0'25'',50.61 km/h,40.00 km,-4%,33,0:52:40,50:40:18,Main group,93,+1'45'',+0'49'',55.03 km/h,44.21 km,-2%,33,0:52:40,50:54:09,Main group,115,+3'20'',+3'20'',48.30 km/h,50.69 km,-1%,33,0:52:40,51:07:24,Main group,136,+2'14'',+2'14'',51.99 km/h,90.68 km,-7%,33,0:52:40,51:19:54,Main group,107,+1'42'',+1'42'',41.83 km/h,52.74 km,-,33,0:52:40,51:32:12,Main group,144,+1'34'',+1'34'',44.11 km/h,41.98 km,-1%,33,0:52:40,51:44:29,Main group,93,+2'00'',+2'00'',36.99 km/h,44.03 km,-2%,33,0:52:40,51:57:21,Main group,116,+2'10'',+2'10'',44.58 km/h,41.33 km,-,33,0:52:40,52:11:13,Main group,103,+2'06'',+2'06'',38.72 km/h,35.64 km,3%,33,0:52:40,52:22:43,Main group,143,+1'30'',+1'30'',44.69 km/h,39.92 km,-,33,0:52:40,52:35:22,Main group,130,+1'00'',+1'00'',29.61 km/h,26.57 km,5%,33,0:52:40,52:47:19,Main group,117,+0'51'',+0'51'',41.57 km/h,31.93 km,-2%,33,0:52:40,53:00:34,Main group,128,+0'57'',+0'57'',38.95 km/h,32.51 km,4%,33,0:52:40,53:12:57,Main group,137,+0'35'',+0'35'',41.78 km/h,30.60 km,-,33,0:52:40,53:25:40,Main group,70,+0'47'',+0'47'',39.72 km/h,65.84 km,-3%,33,0:52:40,53:38:12,Main group,105,+0'25'',+0'25'',59.06 km/h,53.60 km,-,33,0:52:40,53:43:41,Main group,123,+0'24'',+0'24'',55.29 km/h,56.05 km,-1%,33,0:52:40,53:50:26,Main group,62,+0'00'',+0'00'',50.09 km/h,52.38 km,-1%,33,0:52:40,53:56:41,Main group,32,+0'00'',-,-,-,-,30,0:52:40,54:03:18
T. BOUDAT,182,TDE,no,80,50h 59' 00'',1:34:17,03h 45' 55'',Main group,124,+0'00'',+0'00'',0 km/h,0 km/h,0%,80,1:34:17,50:59:00,-,999,-,-,-,-,-,999,99:99:99,99:99:99,-,999,-,-,-,-,-,999,99:99:99,99:99:99,-,999,-,-,-,-,-,999,99:99:99,99:99:99,-,999,-,-,-,-,-,999,99:99:99,99:99:99,-,999,-,-,-,-,-,999,99:99:99,99:99:99,-,999,-,-,-,-,-,999,99:99:99,99:99:99,-,999,-,-,-,-,-,999,99:99:99,99:99:99,-,999,-,-,-,-,-,999,99:99:99,99:99:99,-,999,-,-,-,-,-,999,99:99:99,99:99:99,-,999,-,-,-,-,-,999,99:99:99,99:99:99,-,999,-,-,-,-,-,999,99:99:99,99:99:99,-,999,-,-,-,-,-,999,99:99:99,99:99:99,-,999,-,-,-,-,-,999,99:99:99,99:99:99,-,999,-,-,-,-,-,999,99:99:99,99:99:99,-,999,-,-,-,-,-,999,99:99:99,99:99:99,-,999,-,-,-,-,-,999,99:99:99,99:99:99,-,999,-,-,-,-,-,999,99:99:99,99:99:99,-,999,-,-,-,-,-,999,99:99:99,99:99:99,Main group,21,+0'00'',-,-,-,-,77,1:34:17,54:44:55
S. CHAVANEL,183,TDE,no,45,50h 34' 07'',1:09:24,03h 45' 55'',Main group,125,+0'00'',+0'00'',0 km/h,0 km/h,0%,45,1:09:24,50:34:07,Main group,55,+0'58'',+0'25'',44.14 km/h,38.05 km,-4%,44,1:09:24,50:57:02,Main group,143,+1'45'',+0'49'',55.71 km/h,45.97 km,-2%,44,1:09:24,51:10:53,Main group,111,+3'20'',+3'20'',49.10 km/h,49.93 km,-1%,44,1:09:24,51:24:08,Main group,42,+2'14'',+2'14'',53.35 km/h,85.32 km,-5%,44,1:09:24,51:36:38,Main group,79,+1'42'',+1'42'',41.12 km/h,48.06 km,-,44,1:09:24,51:48:56,Main group,27,+1'34'',+1'34'',45.80 km/h,40.57 km,-1%,44,1:09:24,52:01:13,Main group,63,+2'00'',+2'00'',37.09 km/h,45.54 km,-3%,44,1:09:24,52:14:05,Main group,82,+2'10'',+2'10'',44.35 km/h,44.03 km,-,44,1:09:24,52:27:57,Main group,49,+2'06'',+2'06'',38.57 km/h,37.84 km,3%,44,1:09:24,52:39:27,Main group,70,+1'30'',+1'30'',45.41 km/h,50.36 km,-,44,1:09:24,52:52:06,Main group,46,+1'00'',+1'00'',28.64 km/h,22.82 km,5%,44,1:09:24,53:04:03,Main group,38,+0'51'',+0'51'',40.72 km/h,39.13 km,-2%,44,1:09:24,53:17:18,Main group,53,+0'57'',+0'57'',38.89 km/h,30.53 km,4%,44,1:09:24,53:29:41,Main group,114,+0'35'',+0'35'',40.91 km/h,35.28 km,-,44,1:09:24,53:42:24,Main group,15,+0'47'',+0'47'',39.35 km/h,64.73 km,-2%,44,1:09:24,53:54:56,Main group,21,+0'25'',+0'25'',59.48 km/h,47.41 km,-,44,1:09:24,54:00:25,Main group,53,+0'24'',+0'24'',55.10 km/h,57.67 km,-1%,44,1:09:24,54:07:10,Main group,41,+0'00'',+0'00'',49.21 km/h,51.66 km,-,44,1:09:24,54:13:25,Main group,42,+0'00'',-,-,-,-,43,1:09:24,54:20:02
J. COUSIN,184,TDE,no,106,51h 11' 56'',1:47:13,03h 47' 09'',Main group,126,+0'00'',+0'00'',0 km/h,0 km/h,0%,106,1:47:13,51:11:56,Main group,33,+0'58'',+0'25'',49.56 km/h,41.36 km,-5%,104,1:47:13,51:34:51,Main group,44,+1'45'',+0'49'',54.93 km/h,43.85 km,-3%,104,1:47:13,51:48:42,Main group,123,+3'20'',+3'20'',47.30 km/h,50.51 km,-1%,104,1:47:13,52:01:57,Main group,147,+2'14'',+2'14'',50.65 km/h,86.61 km,-7%,104,1:47:13,52:14:27,Main group,149,+1'42'',+1'42'',39.52 km/h,49.50 km,-,104,1:47:13,52:26:45,Main group,68,+1'34'',+1'34'',41.06 km/h,40.14 km,-1%,104,1:47:13,52:39:02,Main group,99,+2'00'',+2'00'',36.88 km/h,43.31 km,-2%,104,1:47:13,52:51:54,Main group,113,+2'10'',+2'10'',44.16 km/h,41.98 km,-,104,1:47:13,53:05:46,Main group,147,+2'06'',+2'06'',39.89 km/h,37.30 km,3%,104,1:47:13,53:17:16,Back of the Race,151,+2'28'',+0'58'',44.29 km/h,45.43 km,-,108,1:48:11,53:30:53,Main group,68,+1'00'',+1'00'',30.15 km/h,20.27 km,5%,104,1:47:13,53:41:52,Main group,101,+0'51'',+0'51'',40.31 km/h,34.20 km,-2%,104,1:47:13,53:55:07,Main group,120,+0'57'',+0'57'',38.70 km/h,30.35 km,4%,104,1:47:13,54:07:30,Main group,116,+0'35'',+0'35'',41.10 km/h,35.46 km,-,104,1:47:13,54:20:13,Main group,105,+0'47'',+0'47'',39.05 km/h,63.18 km,-3%,104,1:47:13,54:32:45,Main group,122,+0'25'',+0'25'',59.15 km/h,46.55 km,-,104,1:47:13,54:38:14,Main group,39,+0'24'',+0'24'',55.63 km/h,56.84 km,-1%,104,1:47:13,54:44:59,Main group,81,+0'00'',+0'00'',49.02 km/h,49.82 km,-1%,104,1:47:13,54:51:14,Stragglers,78,+1'14'',-,-,-,-,107,1:48:27,54:59:05
