Rider_name,Rider_number,Team,Leader,GC_at_start_of_the_stage,GC_Total_riding_time,GC_Gap_at_start_of_stage,Finish_Time,km171_Group,km171_Position,km171_Elapsed_time,km171_Gap_to_previous_group,km171_Average_speed,km171_Current_speed,km171_Gradient,km171_GC_prov_position,km171_GC_prov_delay,km171_GC_riding_time,km170_Group,km170_Position,km170_Elapsed_time,km170_Gap_to_previous_group,km170_Average_speed,km170_Current_speed,km170_Gradient,km170_GC_prov_position,km170_GC_prov_delay,km170_GC_riding_time,km160_Group,km160_Position,km160_Elapsed_time,km160_Gap_to_previous_group,km160_Average_speed,km160_Current_speed,km160_Gradient,km160_GC_prov_position,km160_GC_prov_delay,km160_GC_riding_time,km150_Group,km150_Position,km150_Elapsed_time,km150_Gap_to_previous_group,km150_Average_speed,km150_Current_speed,km150_Gradient,km150_GC_prov_position,km150_GC_prov_delay,km150_GC_riding_time,km140_Group,km140_Position,km140_Elapsed_time,km140_Gap_to_previous_group,km140_Average_speed,km140_Current_speed,km140_Gradient,km140_GC_prov_position,km140_GC_prov_delay,km140_GC_riding_time,km130_Group,km130_Position,km130_Elapsed_time,km130_Gap_to_previous_group,km130_Average_speed,km130_Current_speed,km130_Gradient,km130_GC_prov_position,km130_GC_prov_delay,km130_GC_riding_time,km120_Group,km120_Position,km120_Elapsed_time,km120_Gap_to_previous_group,km120_Average_speed,km120_Current_speed,km120_Gradient,km120_GC_prov_position,km120_GC_prov_delay,km120_GC_riding_time,km110_Group,km110_Position,km110_Elapsed_time,km110_Gap_to_previous_group,km110_Average_speed,km110_Current_speed,km110_Gradient,km110_GC_prov_position,km110_GC_prov_delay,km110_GC_riding_time,km100_Group,km100_Position,km100_Elapsed_time,km100_Gap_to_previous_group,km100_Average_speed,km100_Current_speed,km100_Gradient,km100_GC_prov_position,km100_GC_prov_delay,km100_GC_riding_time,km90_Group,km90_Position,km90_Elapsed_time,km90_Gap_to_previous_group,km90_Average_speed,km90_Current_speed,km90_Gradient,km90_GC_prov_position,km90_GC_prov_delay,km90_GC_riding_time,km80_Group,km80_Position,km80_Elapsed_time,km80_Gap_to_previous_group,km80_Average_speed,km80_Current_speed,km80_Gradient,km80_GC_prov_position,km80_GC_prov_delay,km80_GC_riding_time,km70_Group,km70_Position,km70_Elapsed_time,km70_Gap_to_previous_group,km70_Average_speed,km70_Current_speed,km70_Gradient,km70_GC_prov_position,km70_GC_prov_delay,km70_GC_riding_time,km60_Group,km60_Position,km60_Elapsed_time,km60_Gap_to_previous_group,km60_Average_speed,km60_Current_speed,km60_Gradient,km60_GC_prov_position,km60_GC_prov_delay,km60_GC_riding_time,km50_Group,km50_Position,km50_Elapsed_time,km50_Gap_to_previous_group,km50_Average_speed,km50_Current_speed,km50_Gradient,km50_GC_prov_position,km50_GC_prov_delay,km50_GC_riding_time,km40_Group,km40_Position,km40_Elapsed_time,km40_Gap_to_previous_group,km40_Average_speed,km40_Current_speed,km40_Gradient,km40_GC_prov_position,km40_GC_prov_delay,km40_GC_riding_time,km30_Group,km30_Position,km30_Elapsed_time,km30_Gap_to_previous_group,km30_Average_speed,km30_Current_speed,km30_Gradient,km30_GC_prov_position,km30_GC_prov_delay,km30_GC_riding_time,km20_Group,km20_Position,km20_Elapsed_time,km20_Gap_to_previous_group,km20_Average_speed,km20_Current_speed,km20_Gradient,km20_GC_prov_position,km20_GC_prov_delay,km20_GC_riding_time,km15_Group,km15_Position,km15_Elapsed_time,km15_Gap_to_previous_group,km15_Average_speed,km15_Current_speed,km15_Gradient,km15_GC_prov_position,km15_GC_prov_delay,km15_GC_riding_time,km10_Group,km10_Position,km10_Elapsed_time,km10_Gap_to_previous_group,km10_Average_speed,km10_Current_speed,km10_Gradient,km10_GC_prov_position,km10_GC_prov_delay,km10_GC_riding_time,km5_Group,km5_Position,km5_Elapsed_time,km5_Gap_to_previous_group,km5_Average_speed,km5_Current_speed,km5_Gradient,km5_GC_prov_position,km5_GC_prov_delay,km5_GC_riding_time,km0_Group,km0_Position,km0_Elapsed_time,km0_Gap_to_previous_group,km0_Average_speed,km0_Current_speed,km0_Gradient,km0_GC_prov_position,km0_GC_prov_delay,km0_GC_riding_time
J. VANENDERT,178,LTS,no,81,72h 47' 35'',2:13:24,03h 49' 56'',Main group,116,+0'00'',+0'00'',0 km/h,0 km/h,0%,81,2:13:24,72:47:35,Main group,118,+0'00'',+0'00'',21.55 km/h,23.08 km,6%,81,2:13:24,72:49:36,Main group,117,+0'00'',+0'00'',55.13 km/h,58.28 km,-1%,81,2:13:24,73:00:28,Main group,98,+0'19'',+0'19'',56.19 km/h,50.18 km,-,81,2:13:24,73:12:27,Main group,95,+1'37'',+1'37'',43.73 km/h,45.36 km,-,80,2:13:24,73:25:07,Main group,55,+1'04'',+1'04'',39.13 km/h,44.35 km,-,81,2:13:24,73:39:59,Main group,120,+1'37'',+1'37'',45.30 km/h,48.31 km,-,81,2:13:24,73:53:07,Main group,135,+1'21'',+1'21'',45.99 km/h,39.49 km,-,81,2:13:24,74:08:14,Main group,141,+0'58'',+0'31'',50.07 km/h,55.37 km,-,80,2:13:24,74:23:30,Main group,79,+2'06'',+2'06'',40.60 km/h,45.83 km,-1%,80,2:13:24,74:37:01,Main group,43,+1'29'',+1'29'',34.41 km/h,62.78 km,-8%,80,2:13:24,74:52:05,Main group,66,+1'38'',+1'38'',37.62 km/h,42.08 km,-,80,2:13:24,75:07:58,Main group,103,+1'26'',+1'26'',42.20 km/h,24.08 km,5%,80,2:13:24,75:21:39,Main group,117,+1'15'',+1'15'',43.13 km/h,45.11 km,-,80,2:13:24,75:36:31,Main group,77,+0'50'',+0'50'',38.24 km/h,52.06 km,-,80,2:13:24,75:49:11,Main group,88,+0'40'',+0'40'',50.37 km/h,69.19 km,-5%,80,2:13:24,76:01:08,Main group,41,+0'25'',+0'25'',50.11 km/h,37.44 km,2%,80,2:13:24,76:11:20,Main group,55,+0'00'',+0'00'',43.77 km/h,49.64 km,2%,80,2:13:24,76:18:22,Main group,77,+0'00'',+0'00'',50.14 km/h,61.60 km,-7%,80,2:13:24,76:24:17,Main group,96,+0'00'',+0'00'',55.05 km/h,44.17 km,-1%,80,2:13:24,76:28:56,Stragglers,134,+3'06'',-,-,-,-,83,2:16:30,76:37:31
L. CALMEJANE,181,TDE,no,27,71h 17' 14'',0:43:03,03h 46' 50'',Main group,117,+0'00'',+0'00'',0 km/h,0 km/h,0%,27,0:43:03,71:17:14,Main group,30,+0'00'',+0'00'',21.60 km/h,26.71 km,7%,27,0:43:03,71:19:15,Main group,66,+0'00'',+0'00'',55.88 km/h,57.46 km,-,27,0:43:03,71:30:07,Main group,66,+0'19'',+0'19'',55.69 km/h,47.20 km,-,27,0:43:03,71:42:06,Main group,65,+1'37'',+1'37'',45.38 km/h,47.34 km,-,27,0:43:03,71:54:46,Main group,141,+1'04'',+1'04'',39.08 km/h,43.09 km,-,27,0:43:03,72:09:38,Main group,102,+1'37'',+1'37'',45.25 km/h,48.92 km,-,27,0:43:03,72:22:46,Main group,81,+1'21'',+1'21'',46.62 km/h,39.82 km,-,27,0:43:03,72:37:53,Main group,73,+0'58'',+0'31'',53.87 km/h,61.42 km,-1%,26,0:43:03,72:53:09,Main group,115,+2'06'',+2'06'',40.01 km/h,43.96 km,-,26,0:43:03,73:06:40,Main group,65,+1'29'',+1'29'',34.05 km/h,61.54 km,-9%,26,0:43:03,73:21:44,Main group,89,+1'38'',+1'38'',37.32 km/h,39.24 km,-,26,0:43:03,73:37:37,Main group,111,+1'26'',+1'26'',42.43 km/h,23.47 km,5%,26,0:43:03,73:51:18,Main group,106,+1'15'',+1'15'',43.08 km/h,44.82 km,-,26,0:43:03,74:06:10,Main group,129,+0'50'',+0'50'',37.26 km/h,48.74 km,-,26,0:43:03,74:18:50,Main group,106,+0'40'',+0'40'',50.69 km/h,68.47 km,-5%,26,0:43:03,74:30:47,Main group,120,+0'25'',+0'25'',49.79 km/h,36.86 km,2%,26,0:43:03,74:40:59,Main group,92,+0'00'',+0'00'',43.58 km/h,46.73 km,2%,26,0:43:03,74:48:01,Main group,74,+0'00'',+0'00'',51.14 km/h,69.77 km,-7%,26,0:43:03,74:53:56,Main group,35,+0'00'',+0'00'',55.59 km/h,53.06 km,-1%,26,0:43:03,74:58:35,Main group,18,+0'00'',-,-,-,-,27,0:43:03,75:04:04
T. BOUDAT,182,TDE,no,89,72h 56' 35'',2:22:24,03h 50' 28'',Main group,118,+0'00'',+0'00'',0 km/h,0 km/h,0%,89,2:22:24,72:56:35,Main group,2,+0'00'',+0'00'',23.36 km/h,36.00 km,7%,89,2:22:24,72:58:36,Main group,5,+0'00'',+0'00'',54.96 km/h,59.18 km,-1%,89,2:22:24,73:09:28,Front of the race,3,+0'00'',+0'00'',55.61 km/h,49.68 km,-,89,2:22:05,73:21:08,Front of the race,2,+0'00'',+0'00'',43.65 km/h,26.96 km,-1%,89,2:20:47,73:32:30,Front of the race,3,+0'00'',+0'00'',40.73 km/h,48.78 km,-,89,2:21:20,73:47:55,Front of the race,1,01h 03' 55'',+0'00'',46.29 km/h,44.39 km,-1%,89,2:20:47,74:00:30,Front of the race,2,+0'00'',+0'00'',45.79 km/h,41.80 km,-1%,89,2:21:03,74:15:53,Front of the race,1,01h 34' 57'',+0'00'',56.16 km/h,47.59 km,-1%,88,2:21:26,74:31:32,Front of the race,3,+0'00'',+0'00'',46.45 km/h,38.77 km,-,87,2:20:18,74:43:55,Front of the race,5,+0'00'',+0'00'',42.50 km/h,33.34 km,2%,88,2:20:55,74:59:36,Front of the race,2,+0'00'',+0'00'',30.73 km/h,43.06 km,1%,88,2:20:46,75:15:20,Front of the race,5,+0'00'',+0'00'',32.15 km/h,17.53 km,5%,88,2:20:58,75:29:13,Front of the race,2,+0'00'',+0'00'',45.74 km/h,46.94 km,-,88,2:21:09,75:44:16,Front of the race,2,+0'00'',+0'00'',33.84 km/h,37.15 km,-,88,2:21:34,75:57:21,Front of the race,5,+0'00'',+0'00'',48.32 km/h,61.81 km,-,88,2:21:44,76:09:28,Front of the race,2,+0'00'',+0'00'',45.42 km/h,29.23 km,6%,88,2:21:59,76:19:55,Main group,27,+0'00'',+0'00'',42.22 km/h,47.92 km,1%,88,2:22:24,76:27:22,Main group,130,+0'00'',+0'00'',49.35 km/h,70.78 km,-4%,88,2:22:24,76:33:17,Main group,134,+0'00'',+0'00'',55.23 km/h,42.52 km,-,88,2:22:24,76:37:56,Stragglers,140,+3'38'',-,-,-,-,92,2:26:02,76:47:03
S. CHAVANEL,183,TDE,no,37,71h 47' 40'',1:13:29,03h 46' 50'',Main group,119,+0'00'',+0'00'',0 km/h,0 km/h,0%,37,1:13:29,71:47:40,Main group,26,+0'00'',+0'00'',21.15 km/h,26.24 km,7%,37,1:13:29,71:49:41,Main group,23,+0'00'',+0'00'',55.44 km/h,47.56 km,-,37,1:13:29,72:00:33,Main group,10,+0'19'',+0'19'',54.41 km/h,46.73 km,-,37,1:13:29,72:12:32,Main group,99,+1'37'',+1'37'',43.63 km/h,46.98 km,-,37,1:13:29,72:25:12,Main group,24,+1'04'',+1'04'',38.97 km/h,45.58 km,-,37,1:13:29,72:40:04,Main group,60,+1'37'',+1'37'',44.98 km/h,49.64 km,-1%,37,1:13:29,72:53:12,Main group,72,+1'21'',+1'21'',45.93 km/h,38.38 km,-,37,1:13:29,73:08:19,Main group,41,+0'58'',+0'31'',53.94 km/h,58.72 km,-1%,36,1:13:29,73:23:35,Main group,130,+2'06'',+2'06'',40.67 km/h,42.44 km,-,36,1:13:29,73:37:06,Main group,131,+1'29'',+1'29'',32.79 km/h,55.73 km,-6%,36,1:13:29,73:52:10,Main group,100,+1'38'',+1'38'',36.95 km/h,39.78 km,1%,36,1:13:29,74:08:03,Main group,120,+1'26'',+1'26'',42.24 km/h,23.00 km,5%,36,1:13:29,74:21:44,Main group,43,+1'15'',+1'15'',42.76 km/h,45.83 km,-,36,1:13:29,74:36:36,Main group,62,+0'50'',+0'50'',38.32 km/h,52.74 km,1%,36,1:13:29,74:49:16,Main group,76,+0'40'',+0'40'',50.51 km/h,69.44 km,-5%,36,1:13:29,75:01:13,Main group,44,+0'25'',+0'25'',50.02 km/h,37.22 km,2%,36,1:13:29,75:11:25,Main group,12,+0'00'',+0'00'',43.90 km/h,48.35 km,1%,36,1:13:29,75:18:27,Main group,27,+0'00'',+0'00'',51.54 km/h,64.84 km,-7%,36,1:13:29,75:24:22,Main group,50,+0'00'',+0'00'',54.29 km/h,49.14 km,-1%,36,1:13:29,75:29:01,Main group,29,+0'00'',-,-,-,-,37,1:13:29,75:34:30
J. COUSIN,184,TDE,no,96,73h 03' 22'',2:29:11,03h 46' 50'',Main group,120,+0'00'',+0'00'',0 km/h,0 km/h,0%,96,2:29:11,73:03:22,Main group,7,+0'00'',+0'00'',22.22 km/h,33.52 km,8%,95,2:29:11,73:05:23,Main group,16,+0'00'',+0'00'',55.81 km/h,54.25 km,-,95,2:29:11,73:16:15,Main group,50,+0'19'',+0'19'',54.99 km/h,47.92 km,-,94,2:29:11,73:28:14,Main group,112,+1'37'',+1'37'',42.66 km/h,45.00 km,-,95,2:29:11,73:40:54,Main group,36,+1'04'',+1'04'',39.55 km/h,43.74 km,-,95,2:29:11,73:55:46,Main group,73,+1'37'',+1'37'',45.00 km/h,48.46 km,-1%,95,2:29:11,74:08:54,Main group,83,+1'21'',+1'21'',45.80 km/h,39.13 km,-,95,2:29:11,74:24:01,Main group,94,+0'58'',+0'31'',53.71 km/h,59.58 km,-1%,94,2:29:11,74:39:17,Main group,134,+2'06'',+2'06'',40.20 km/h,42.16 km,-,94,2:29:11,74:52:48,Main group,140,+1'29'',+1'29'',32.45 km/h,52.67 km,-6%,93,2:29:11,75:07:52,Main group,138,+1'38'',+1'38'',36.80 km/h,35.24 km,2%,94,2:29:11,75:23:45,Main group,138,+1'26'',+1'26'',42.79 km/h,24.77 km,5%,94,2:29:11,75:37:26,Main group,94,+1'15'',+1'15'',43.15 km/h,43.34 km,-,94,2:29:11,75:52:18,Main group,54,+0'50'',+0'50'',39.41 km/h,50.08 km,1%,94,2:29:11,76:04:58,Main group,125,+0'40'',+0'40'',49.85 km/h,67.32 km,-5%,94,2:29:11,76:16:55,Main group,39,+0'25'',+0'25'',50.22 km/h,35.03 km,2%,94,2:29:11,76:27:07,Main group,59,+0'00'',+0'00'',43.74 km/h,48.42 km,2%,94,2:29:11,76:34:09,Main group,31,+0'00'',+0'00'',51.29 km/h,61.92 km,-7%,94,2:29:11,76:40:04,Main group,25,+0'00'',+0'00'',54.51 km/h,53.14 km,-1%,94,2:29:11,76:44:43,Main group,23,+0'00'',-,-,-,-,94,2:29:11,76:50:12
D. GAUDIN,185,TDE,no,137,73h 45' 39'',3:11:28,03h 49' 24'',Main group,121,+0'00'',+0'00'',0 km/h,0 km/h,0%,137,3:11:28,73:45:39,Main group,47,+0'00'',+0'00'',21.47 km/h,29.41 km,7%,136,3:11:28,73:47:40,Main group,13,+0'00'',+0'00'',55.66 km/h,54.90 km,-,136,3:11:28,73:58:32,Main group,26,+0'19'',+0'19'',55.75 km/h,47.12 km,-,136,3:11:28,74:10:31,Main group,88,+1'37'',+1'37'',44.04 km/h,43.56 km,-,136,3:11:28,74:23:11,Main group,140,+1'04'',+1'04'',38.63 km/h,41.94 km,-,136,3:11:28,74:38:03,Main group,137,+1'37'',+1'37'',45.18 km/h,51.70 km,-,136,3:11:28,74:51:11,Main group,130,+1'21'',+1'21'',46.46 km/h,39.13 km,-,136,3:11:28,75:06:18,Main group,131,+0'58'',+0'31'',52.85 km/h,63.36 km,-1%,135,3:11:28,75:21:34,Main group,123,+2'06'',+2'06'',39.81 km/h,42.66 km,-,135,3:11:28,75:35:05,Main group,107,+1'29'',+1'29'',33.71 km/h,66.78 km,-9%,135,3:11:28,75:50:09,Main group,121,+1'38'',+1'38'',36.68 km/h,36.58 km,1%,135,3:11:28,76:06:02,Main group,77,+1'26'',+1'26'',42.66 km/h,24.37 km,5%,135,3:11:28,76:19:43,Main group,84,+1'15'',+1'15'',42.97 km/h,45.18 km,-,135,3:11:28,76:34:35,Main group,105,+0'50'',+0'50'',37.73 km/h,48.78 km,-,135,3:11:28,76:47:15,Main group,142,+0'40'',+0'40'',50.02 km/h,66.06 km,-5%,135,3:11:28,76:59:12,Main group,134,+0'25'',+0'25'',49.87 km/h,37.58 km,2%,135,3:11:28,77:09:24,Main group,129,+0'00'',+0'00'',42.99 km/h,54.29 km,2%,135,3:11:28,77:16:26,Main group,107,+0'00'',+0'00'',50.85 km/h,71.71 km,-5%,135,3:11:28,77:22:21,Main group,109,+0'00'',+0'00'',56.40 km/h,47.95 km,-1%,135,3:11:28,77:27:00,Stragglers,128,+2'34'',-,-,-,-,137,3:14:02,77:35:03
F. GRELLIER,186,TDE,no,121,73h 31' 27'',2:57:16,03h 49' 24'',Main group,122,+0'00'',+0'00'',0 km/h,0 km/h,0%,121,2:57:16,73:31:27,Main group,121,+0'00'',+0'00'',21.23 km/h,25.60 km,6%,120,2:57:16,73:33:28,Main group,67,+0'00'',+0'00'',55.78 km/h,57.02 km,-,120,2:57:16,73:44:20,Main group,112,+0'19'',+0'19'',55.40 km/h,53.39 km,-,120,2:57:16,73:56:19,Main group,70,+1'37'',+1'37'',44.65 km/h,46.48 km,-,121,2:57:16,74:08:59,Main group,121,+1'04'',+1'04'',39.28 km/h,42.77 km,-,121,2:57:16,74:23:51,Main group,130,+1'37'',+1'37'',45.41 km/h,50.18 km,-,121,2:57:16,74:36:59,Main group,65,+1'21'',+1'21'',46.53 km/h,41.51 km,-,121,2:57:16,74:52:06,Main group,106,+0'58'',+0'31'',53.22 km/h,58.82 km,-1%,119,2:57:16,75:07:22,Main group,106,+2'06'',+2'06'',40.39 km/h,43.38 km,-,120,2:57:16,75:20:53,Main group,121,+1'29'',+1'29'',32.96 km/h,57.78 km,-6%,120,2:57:16,75:35:57,Main group,82,+1'38'',+1'38'',37.01 km/h,41.58 km,-,120,2:57:16,75:51:50,Main group,82,+1'26'',+1'26'',42.50 km/h,23.15 km,5%,120,2:57:16,76:05:31,Main group,135,+1'15'',+1'15'',42.63 km/h,44.82 km,-,120,2:57:16,76:20:23,Main group,114,+0'50'',+0'50'',37.82 km/h,47.41 km,-,119,2:57:16,76:33:03,Main group,133,+0'40'',+0'40'',49.87 km/h,65.23 km,-5%,119,2:57:16,76:45:00,Main group,114,+0'25'',+0'25'',50.16 km/h,37.84 km,2%,119,2:57:16,76:55:12,Main group,99,+0'00'',+0'00'',43.58 km/h,49.72 km,2%,119,2:57:16,77:02:14,Main group,114,+0'00'',+0'00'',50.12 km/h,68.80 km,-4%,119,2:57:16,77:08:09,Main group,125,+0'00'',+0'00'',55.86 km/h,48.96 km,-1%,119,2:57:16,77:12:48,Stragglers,129,+2'34'',-,-,-,-,126,2:59:50,77:20:51
R. SICARD,187,TDE,no,72,72h 38' 02'',2:03:51,03h 49' 24'',Main group,123,+0'00'',+0'00'',0 km/h,0 km/h,0%,72,2:03:51,72:38:02,Main group,93,+0'00'',+0'00'',21.48 km/h,24.59 km,7%,72,2:03:51,72:40:03,Main group,90,+0'00'',+0'00'',55.68 km/h,58.75 km,-1%,72,2:03:51,72:50:55,Main group,100,+0'19'',+0'19'',55.48 km/h,55.48 km,-,72,2:03:51,73:02:54,Main group,62,+1'37'',+1'37'',43.91 km/h,43.63 km,-,72,2:03:51,73:15:34,Main group,135,+1'04'',+1'04'',39.02 km/h,45.65 km,-,72,2:03:51,73:30:26,Main group,52,+1'37'',+1'37'',46.62 km/h,49.54 km,-1%,72,2:03:51,73:43:34,Main group,58,+1'21'',+1'21'',46.20 km/h,40.61 km,-,72,2:03:51,73:58:41,Main group,96,+0'58'',+0'31'',53.00 km/h,58.97 km,-1%,71,2:03:51,74:13:57,Main group,112,+2'06'',+2'06'',40.10 km/h,44.64 km,-,71,2:03:51,74:27:28,Main group,100,+1'29'',+1'29'',33.76 km/h,63.47 km,-9%,71,2:03:51,74:42:32,Main group,94,+1'38'',+1'38'',37.27 km/h,39.10 km,-,71,2:03:51,74:58:25,Main group,118,+1'26'',+1'26'',42.42 km/h,22.90 km,5%,71,2:03:51,75:12:06,Main group,122,+1'15'',+1'15'',42.70 km/h,45.36 km,-,71,2:03:51,75:26:58,Main group,135,+0'50'',+0'50'',37.33 km/h,46.87 km,-,71,2:03:51,75:39:38,Main group,103,+0'40'',+0'40'',50.75 km/h,69.08 km,-5%,71,2:03:51,75:51:35,Main group,105,+0'25'',+0'25'',49.93 km/h,36.14 km,2%,71,2:03:51,76:01:47,Main group,122,+0'00'',+0'00'',43.24 km/h,52.27 km,2%,71,2:03:51,76:08:49,Main group,108,+0'00'',+0'00'',50.53 km/h,68.80 km,-4%,71,2:03:51,76:14:44,Main group,121,+0'00'',+0'00'',55.85 km/h,47.34 km,-1%,71,2:03:51,76:19:23,Stragglers,126,+2'34'',-,-,-,-,73,2:06:25,76:27:26
B. MOLLEMA,191,TFS,no,18,71h 01' 33'',0:27:22,03h 46' 50'',Main group,124,+0'00'',+0'00'',0 km/h,0 km/h,0%,18,0:27:22,71:01:33,Main group,126,+0'00'',+0'00'',22.01 km/h,25.02 km,6%,18,0:27:22,71:03:34,Main group,75,+0'00'',+0'00'',55.90 km/h,57.60 km,-,18,0:27:22,71:14:26,Main group,42,+0'19'',+0'19'',55.73 km/h,47.12 km,-,18,0:27:22,71:26:25,Main group,91,+1'37'',+1'37'',44.17 km/h,45.36 km,-,17,0:27:22,71:39:05,Main group,125,+1'04'',+1'04'',39.28 km/h,43.27 km,-,18,0:27:22,71:53:57,Main group,92,+1'37'',+1'37'',44.84 km/h,50.98 km,-,18,0:27:22,72:07:05,Main group,99,+1'21'',+1'21'',45.81 km/h,40.50 km,-,18,0:27:22,72:22:12,Main group,71,+0'58'',+0'31'',53.02 km/h,60.01 km,-1%,17,0:27:22,72:37:28,Main group,94,+2'06'',+2'06'',40.10 km/h,44.10 km,-1%,17,0:27:22,72:50:59,Main group,125,+1'29'',+1'29'',32.73 km/h,54.29 km,-6%,17,0:27:22,73:06:03,Main group,120,+1'38'',+1'38'',37.33 km/h,35.06 km,1%,17,0:27:22,73:21:56,Main group,114,+1'26'',+1'26'',42.72 km/h,22.97 km,5%,17,0:27:22,73:35:37,Main group,137,+1'15'',+1'15'',42.80 km/h,45.61 km,-,17,0:27:22,73:50:29,Main group,140,+0'50'',+0'50'',37.28 km/h,49.10 km,-,17,0:27:22,74:03:09,Main group,105,+0'40'',+0'40'',50.78 km/h,67.75 km,-5%,17,0:27:22,74:15:06,Main group,94,+0'25'',+0'25'',49.59 km/h,37.98 km,2%,17,0:27:22,74:25:18,Main group,94,+0'00'',+0'00'',43.50 km/h,49.25 km,2%,17,0:27:22,74:32:20,Main group,110,+0'00'',+0'00'',49.92 km/h,73.69 km,-4%,17,0:27:22,74:38:15,Main group,106,+0'00'',+0'00'',56.36 km/h,44.50 km,-1%,17,0:27:22,74:42:54,Main group,61,+0'00'',-,-,-,-,18,0:27:22,74:48:23
J. BERNARD,192,TFS,no,34,71h 41' 36'',1:07:25,03h 46' 50'',Main group,125,+0'00'',+0'00'',0 km/h,0 km/h,0%,34,1:07:25,71:41:36,Main group,113,+0'00'',+0'00'',21.59 km/h,22.82 km,6%,34,1:07:25,71:43:37,Main group,144,+0'00'',+0'00'',55.46 km/h,58.03 km,-1%,34,1:07:25,71:54:29,Main group,132,+0'19'',+0'19'',55.06 km/h,55.94 km,-,34,1:07:25,72:06:28,Main group,109,+1'37'',+1'37'',43.74 km/h,46.19 km,-,34,1:07:25,72:19:08,Main group,116,+1'04'',+1'04'',39.20 km/h,42.98 km,-,34,1:07:25,72:34:00,Main group,40,+1'37'',+1'37'',44.93 km/h,48.28 km,-1%,34,1:07:25,72:47:08,Main group,96,+1'21'',+1'21'',45.97 km/h,39.38 km,-,34,1:07:25,73:02:15,Main group,105,+0'58'',+0'31'',53.82 km/h,60.66 km,-1%,33,1:07:25,73:17:31,Main group,74,+2'06'',+2'06'',40.13 km/h,44.68 km,-1%,33,1:07:25,73:31:02,Main group,97,+1'29'',+1'29'',34.08 km/h,62.42 km,-9%,33,1:07:25,73:46:06,Main group,130,+1'38'',+1'38'',37.27 km/h,36.40 km,1%,33,1:07:25,74:01:59,Main group,134,+1'26'',+1'26'',42.65 km/h,22.57 km,5%,33,1:07:25,74:15:40,Main group,70,+1'15'',+1'15'',43.45 km/h,46.37 km,-,33,1:07:25,74:30:32,Main group,137,+0'50'',+0'50'',37.24 km/h,47.30 km,-,33,1:07:25,74:43:12,Main group,126,+0'40'',+0'40'',50.04 km/h,66.24 km,-5%,33,1:07:25,74:55:09,Main group,122,+0'25'',+0'25'',50.05 km/h,35.75 km,2%,33,1:07:25,75:05:21,Main group,96,+0'00'',+0'00'',43.72 km/h,48.74 km,2%,33,1:07:25,75:12:23,Main group,123,+0'00'',+0'00'',49.92 km/h,73.01 km,-4%,33,1:07:25,75:18:18,Main group,91,+0'00'',+0'00'',57.07 km/h,43.70 km,-1%,33,1:07:25,75:22:57,Main group,67,+0'00'',-,-,-,-,34,1:07:25,75:28:26
K. DE KORT,193,TFS,no,79,72h 47' 05'',2:12:54,03h 46' 50'',Main group,126,+0'00'',+0'00'',0 km/h,0 km/h,0%,79,2:12:54,72:47:05,Main group,51,+0'00'',+0'00'',21.92 km/h,27.72 km,7%,79,2:12:54,72:49:06,Main group,56,+0'00'',+0'00'',55.72 km/h,56.70 km,-,79,2:12:54,72:59:58,Main group,40,+0'19'',+0'19'',55.83 km/h,48.89 km,-,79,2:12:54,73:11:57,Main group,10,+1'37'',+1'37'',44.65 km/h,44.82 km,-,78,2:12:54,73:24:37,Main group,34,+1'04'',+1'04'',38.84 km/h,43.38 km,-,79,2:12:54,73:39:29,Main group,41,+1'37'',+1'37'',44.72 km/h,47.77 km,-1%,79,2:12:54,73:52:37,Main group,93,+1'21'',+1'21'',45.75 km/h,38.38 km,-,79,2:12:54,74:07:44,Main group,61,+0'58'',+0'31'',53.62 km/h,61.99 km,-1%,78,2:12:54,74:23:00,Main group,82,+2'06'',+2'06'',40.33 km/h,45.58 km,-1%,78,2:12:54,74:36:31,Main group,52,+1'29'',+1'29'',33.77 km/h,60.59 km,-9%,78,2:12:54,74:51:35,Main group,71,+1'38'',+1'38'',37.36 km/h,41.62 km,-,78,2:12:54,75:07:28,Main group,95,+1'26'',+1'26'',42.52 km/h,22.50 km,5%,78,2:12:54,75:21:09,Main group,87,+1'15'',+1'15'',42.81 km/h,45.94 km,-,78,2:12:54,75:36:01,Main group,120,+0'50'',+0'50'',37.37 km/h,49.93 km,-,78,2:12:54,75:48:41,Main group,86,+0'40'',+0'40'',50.73 km/h,71.64 km,-5%,78,2:12:54,76:00:38,Main group,29,+0'25'',+0'25'',49.87 km/h,39.56 km,3%,78,2:12:54,76:10:50,Main group,53,+0'00'',+0'00'',44.08 km/h,48.60 km,2%,78,2:12:54,76:17:52,Main group,42,+0'00'',+0'00'',51.24 km/h,59.04 km,-7%,78,2:12:54,76:23:47,Main group,43,+0'00'',+0'00'',54.68 km/h,45.22 km,-1%,78,2:12:54,76:28:26,Main group,24,+0'00'',-,-,-,-,78,2:12:54,76:33:55
